OBJECTID,AssetID,AssetStatus,AssetName,Owner,InstallDate,Type,Lng,Lat
32,PS020,In Service,TOPAZ DRV,TCC,1/03/1979,Rising Main,176.2873808,-37.70191215
50,PS045,In Service,WYLIE ST,TCC,1/08/1982,Rising Main,176.1280264,-37.71815014
41,PS048,In Service,MOIRI PL,TCC,1/07/1984,Rising Main,176.1693176,-37.72211294
48,PS052,In Service,BEACH RD,TCC,1/09/1982,Gravity Lift,176.1395195,-37.66234676
34,PS053,In Service,JASPER WAY,TCC,1/10/1984,Rising Main,176.2913156,-37.70301602
37,PS055,In Service,DONCASTER DRV,TCC,1/12/1984,Rising Main,176.2898188,-37.70716803
47,PS056,In Service,RANGE RD,TCC,1/08/1988,Rising Main,176.2578329,-37.68666193
35,PS057,In Service,WIKITORIA ST,TCC,1/06/1983,Rising Main,176.1868159,-37.71067497
36,PS058,In Service,LONGSTEAD AVE,TCC,1/05/1989,Rising Main,176.2863612,-37.70669429
49,PS064,In Service,MEADOWLAND ST,TCC,22/02/1973,Rising Main,176.1346715,-37.6676705
39,PS070,In Service,SIMPSON RD,TCC,1/06/1995,Rising Main,176.3221075,-37.71187016
38,PS072,In Service,DALTON DRV,TCC,1/05/1995,Rising Main,176.3058646,-37.70867228
1072,PS087,In Service,Coach Drv,TCC,1/09/2019,Rising Main,176.1465057,-37.67842693
40,PS089,In Service,TAYLOR RD,TCC,1/08/1995,Rising Main,176.3294461,-37.71185741
1472,PS137,In Service,3RD AVENUE WEST FLOW,TCC,1/01/2009,Rising Main,176.1607464,-37.68904506
271,PS168,In Service,Kuihi St,TCC,1/01/2019,Rising Main,176.1561016,-37.73034508
65,PS001,In Service,Te Maunga Lane,TCC,1/11/1984,Rising Main,176.2362566,-37.68752564
59,PS005,In Service,LABURNUM GLEN,TCC,1/01/1992,Rising Main,176.217607,-37.68166412
58,PS009,In Service,PERCY RD,TCC,1/03/1991,Rising Main,176.2770152,-37.69537716
72,PS010,In Service,OPAL DRV,TCC,1/02/1996,Rising Main,176.2913711,-37.70578861
74,PS025,In Service,NIKAU CRES,TCC,1/07/1976,Rising Main,176.1837221,-37.64109343
69,PS026,In Service,TYE PARK,TCC,1/07/1978,Rising Main,176.1985253,-37.72148594
54,PS027,In Service,WAITAHA RD,TCC,1/07/1978,Rising Main,176.1903038,-37.72513951
66,PS032,In Service,OCEANBEACH RD,TCC,1/09/1983,Rising Main,176.218436,-37.66237416
73,PS047,In Service,TOTARA/MAUI,TCC,1/07/1982,Rising Main,176.1873099,-37.662185
68,PS049,In Service,ANCHORAGE GR,TCC,1/05/1983,Rising Main,176.1747464,-37.71739423
56,PS050,In Service,WINDERMERE DRV,TCC,1/05/1985,Rising Main,176.149906,-37.73526041
64,PS065,In Service,MARSHALL AVE,TCC,1/02/1995,Rising Main,176.1170931,-37.73186301
61,PS066,In Service,CHECKETTS PL,TCC,1/08/1994,Rising Main,176.2606697,-37.69418811
62,PS069,In Service,SANTA MONICA DRV,TCC,22/05/1995,Rising Main,176.27979,-37.69869765
76,PS074,In Service,FERGUSSON PARK,TCC,1/01/1984,Rising Main,176.1229182,-37.66283736
71,PS075,In Service,POIKE,TCC,1/05/2000,Rising Main,176.1484074,-37.72982214
70,PS076,In Service,ILA PL,TCC,1/05/1986,Rising Main,176.1625109,-37.7302623
63,PS078,In Service,PACIFIC VIEW RD,TCC,1/11/1996,Rising Main,176.254535,-37.6921337
53,PS079,In Service,FANTAIL DRV,TCC,1/04/1990,Rising Main,176.1809067,-37.71992244
75,PS081,In Service,TITOKI PL,TCC,1/04/1984,Rising Main,176.222429,-37.6812271
67,PS082,In Service,AERODROME RD,TCC,1/05/1983,Rising Main,176.2034046,-37.6655005
60,PS088,In Service,LONGVIEW DRV,TCC,1/10/1995,Rising Main,176.2988068,-37.70605547
55,PS093,In Service,STABLEFORD DRV,TCC,23/03/1997,Rising Main,176.118166,-37.73712733
131,PS044,In Service,GRAHAM PL,TCC,1/12/2005,Rising Main,176.1250232,-37.68556689
